3 6 28 34 59 62
3 6 29 32 55 58
3 6 29 32 55 61
3 6 29 32 58 61
3 6 29 35 55 58
3 6 29 35 55 61
3 6 29 35 58 61
3 6 31 34 56 59
3 6 31 34 56 62
3 6 31 34 59 62
3 6 32 35 55 58
3 6 32 35 55 61
3 6 32 35 58 61
3 9 24 30 36 51
3 9 24 30 36 78
3 9 24 30 51 63
3 9 24 30 63 78
3 9 24 36 51 57
3 9 24 36 57 78
3 9 24 51 57 63
3 9 24 57 63 78
3 9 30 36 51 78
3 9 30 51 63 78
3 9 36 51 57 78
3 9 51 57 63 78
3 10 26 33 40 47
3 10 26 33 40 77
3 10 26 33 47 70
3 10 26 33 70 77
3 10 26 40 47 54
3 10 26 40 54 77
3 10 26 47 54 70
3 10 26 54 70 77
3 10 33 40 47 77
3 10 33 47 70 77
3 10 40 47 54 77
3 10 47 54 70 77
3 11 19 27 44 52
3 11 19 27 44 76
3 11 19 27 52 68
3 11 19 27 68 76
3 11 19 44 52 60
3 11 19 44 60 76
3 11 19 52 60 68
3 11 19 60 68 76
3 11 27 44 52 76
3 11 27 52 68 76
3 11 44 52 60 76
3 11 52 60 68 76
3 12 21 30 39 48
3 12 21 30 39 75
3 12 21 30 48 66
3 12 21 30 66 75
3 12 21 39 48 57
3 12 21 39 57 75
3 12 21 48 57 66
3 12 21 57 66 75
3 12 30 39 48 75
3 12 30 48 66 75
3 12 39 48 57 75
3 12 48 57 66 75
3 13 23 33 43 53
3 13 23 33 43 74
3 13 23 33 53 64
3 13 23 33 64 74
3 13 23 43 53 54
3 13 23 43 54 74
3 13 23 53 54 64
3 13 23 54 64 74
3 13 33 43 53 74
3 13 33 53 64 74
3 13 43 53 54 74
3 13 53 54 64 74
3 14 25 27 38 49
3 14 25 27 38 73
3 14 25 27 49 71
3 14 25 27 71 73
3 14 25 38 49 60
3 14 25 38 60 73
3 14 25 49 60 71
3 14 25 60 71 73
3 14 27 38 49 73
3 14 27 49 71 73
3 14 38 49 60 73
3 14 49 60 71 73
3 15 18 30 42 45
3 15 18 30 42 72
3 15 18 30 45 69
3 15 18 30 69 72
3 15 18 42 45 57
3 15 18 42 57 72
3 15 18 45 57 69
3 15 18 57 69 72
3 15 30 42 45 72
3 15 30 45 69 72
3 15 42 45 57 72
3 15 45 57 69 72
3 16 20 33 37 50
3 16 20 33 37 80
3 16 20 33 50 67
3 16 20 33 67 80
3 16 20 37 50 54
3 16 20 37 54 80
3 16 20 50 54 67
3 16 20 54 67 80
3 16 33 37 50 80
3 16 33 50 67 80
3 16 37 50 54 80
3 16 50 54 67 80
3 17 22 27 41 46
3 17 22 27 41 79
3 17 22 27 46 65
3 17 22 27 65 79
3 17 22 41 46 60
3 17 22 41 60 79
3 17 22 46 60 65
3 17 22 60 65 79
3 17 27 41 46 79
3 17 27 46 65 79
3 17 41 46 60 79
3 17 46 60 65 79
3 18 30 42 45 69
3 18 30 42 69 72
3 18 42 45 57 69
3 18 42 57 69 72
3 19 27 44 52 68
3 19 27 44 68 76
3 19 44 52 60 68
3 19 44 60 68 76
3 20 33 37 50 67
3 20 33 37 67 80
3 20 37 50 54 67
3 20 37 54 67 80
3 21 30 39 48 66
3 21 30 39 66 75
3 21 39 48 57 66
3 21 39 57 66 75
3 22 27 41 46 65
3 22 27 41 65 79
3 22 41 46 60 65
3 22 41 60 65 79
3 23 33 43 53 64
3 23 33 43 64 74
3 23 43 53 54 64
3 23 43 54 64 74
3 24 30 36 51 63
3 24 30 36 63 78
3 24 36 51 57 63
3 24 36 57 63 78
3 25 27 38 49 71
3 25 27 38 71 73
3 25 38 49 60 71
3 25 38 60 71 73
3 26 33 40 47 70
3 26 33 40 70 77
3 26 40 47 54 70
3 26 40 54 70 77
3 27 38 49 71 73
3 27 41 46 65 79
3 27 44 52 68 76
3 30 36 51 63 78
3 30 39 48 66 75
3 30 42 45 69 72
3 33 37 50 67 80
3 33 40 47 70 77
3 33 43 53 64 74
3 36 51 57 63 78
3 37 50 54 67 80
3 38 49 60 71 73
3 39 48 57 66 75
3 40 47 54 70 77
3 41 46 60 65 79
3 42 45 57 69 72
3 43 53 54 64 74
3 44 52 60 68 76
4 7 27 30 56 59
4 7 27 30 56 62
4 7 27 30 59 62
4 7 27 33 56 59
4 7 27 33 56 62
4 7 27 33 59 62
4 7 29 32 54 57
4 7 29 32 54 60
4 7 29 32 57 60
4 7 29 35 54 57
4 7 29 35 54 60
4 7 29 35 57 60
4 7 30 33 56 59
4 7 30 33 56 62
4 7 30 33 59 62
4 7 32 35 54 57
4 7 32 35 54 60
4 7 32 35 57 60
4 9 23 28 42 47
4 9 23 28 42 80
4 9 23 28 47 66
4 9 23 28 66 80
4 9 23 42 47 61
4 9 23 42 61 80
4 9 23 47 61 66
4 9 23 61 66 80
4 9 28 42 47 80
4 9 28 47 66 80
4 9 42 47 61 80
4 9 47 61 66 80
4 10 25 31 37 52
4 10 25 31 37 79
4 10 25 31 52 64
4 10 25 31 64 79
4 10 25 37 52 58
4 10 25 37 58 79
4 10 25 52 58 64
4 10 25 58 64 79
4 10 31 37 52 79
4 10 31 52 64 79
4 10 37 52 58 79
4 10 52 58 64 79
4 11 18 34 41 48
4 11 18 34 41 78
4 11 18 34 48 71
4 11 18 34 71 78
4 11 18 41 48 55
4 11 18 41 55 78
4 11 18 48 55 71
4 11 18 55 71 78
4 11 34 41 48 78
4 11 34 48 71 78
4 11 41 48 55 78
4 11 48 55 71 78
4 12 20 28 36 53
4 12 20 28 36 77
4 12 20 28 53 69
4 12 20 28 69 77
4 12 20 36 53 61
4 12 20 36 61 77
4 12 20 53 61 69
4 12 20 61 69 77
4 12 28 36 53 77
4 12 28 53 69 77
4 12 36 53 61 77
4 12 53 61 69 77
4 13 22 31 40 49
4 13 22 31 40 76
4 13 22 31 49 67
4 13 22 31 67 76
4 13 22 40 49 58
4 13 22 40 58 76
4 13 22 49 58 67
4 13 22 58 67 76
4 13 31 40 49 76
4 13 31 49 67 76
4 13 40 49 58 76
4 13 49 58 67 76
4 14 24 34 44 45
4 14 24 34 44 75
4 14 24 34 45 65
4 14 24 34 65 75
4 14 24 44 45 55
4 14 24 44 55 75
4 14 24 45 55 65
4 14 24 55 65 75
4 14 34 44 45 75
4 14 34 45 65 75
4 14 44 45 55 75
4 14 45 55 65 75
4 15 26 28 39 50
4 15 26 28 39 74
4 15 26 28 50 63
4 15 26 28 63 74
4 15 26 39 50 61
4 15 26 39 61 74
4 15 26 50 61 63
4 15 26 61 63 74
4 15 28 39 50 74
4 15 28 50 63 74
4 15 39 50 61 74
4 15 50 61 63 74
4 16 19 31 43 46
4 16 19 31 43 73
4 16 19 31 46 70
4 16 19 31 70 73
4 16 19 43 46 58
4 16 19 43 58 73
4 16 19 46 58 70
4 16 19 58 70 73
4 16 31 43 46 73
4 16 31 46 70 73
4 16 43 46 58 73
4 16 46 58 70 73
